flag_a,flag_b,phi,rate_a,rate_b
extreme_graham_estimate,net_issuance_top_decile,-0.0018965863631015658,0.13745019920318724,0.07370517928286853
accruals_momentum_high,restatement_history,0.002550994962448178,0.099601593625498,0.11752988047808766
altman_distress,goodwill_heavy,-0.004446215263651989,0.09163346613545817,0.17928286852589642
restatement_history,sloan_accruals_top_decile,0.008219208224264718,0.11752988047808766,0.11155378486055777
altman_distress,restatement_history,-0.008712463292245985,0.09163346613545817,0.11752988047808766
altman_distress,net_issuance_top_decile,-0.0103173317585475,0.09163346613545817,0.07370517928286853
extreme_multiples_pb_estimate,extreme_rim_estimate,0.012129039662544683,0.0697211155378486,0.1553784860557769
extreme_rim_estimate,sloan_accruals_top_decile,-0.012247599911976182,0.1553784860557769,0.11155378486055777
extreme_multiples_pb_estimate,net_issuance_top_decile,0.012582375862861187,0.0697211155378486,0.07370517928286853
goodwill_heavy,net_issuance_top_decile,-0.012590121427992755,0.17928286852589642,0.07370517928286853
extreme_graham_estimate,sloan_accruals_top_decile,-0.012812624780129176,0.13745019920318724,0.11155378486055777
accruals_momentum_high,altman_distress,-0.013411189363177478,0.099601593625498,0.09163346613545817
net_issuance_top_decile,restatement_history,0.015420290140098672,0.07370517928286853,0.11752988047808766
accruals_momentum_high,goodwill_heavy,-0.016719422761530465,0.099601593625498,0.17928286852589642
altman_distress,beneish_high,0.019240227650865693,0.09163346613545817,0.05179282868525897
net_issuance_top_decile,sloan_accruals_top_decile,0.021129310692266097,0.07370517928286853,0.11155378486055777
accruals_momentum_high,value_trap_risk,-0.021327594086398668,0.099601593625498,0.350597609561753
altman_distress,extreme_multiples_pb_estimate,0.021494595290306142,0.09163346613545817,0.0697211155378486
accruals_momentum_high,extreme_rim_estimate,0.022604974729936528,0.099601593625498,0.1553784860557769
beneish_high,extreme_rim_estimate,0.02382465707507295,0.05179282868525897,0.1553784860557769
extreme_dcf_estimate,restatement_history,-0.024739800306961972,0.10557768924302789,0.11752988047808766
extreme_dcf_estimate,goodwill_heavy,0.025315521165852374,0.10557768924302789,0.17928286852589642
altman_distress,extreme_dcf_estimate,0.02569149932579124,0.09163346613545817,0.10557768924302789
extreme_multiples_pb_estimate,goodwill_heavy,-0.025996665659101043,0.0697211155378486,0.17928286852589642
extreme_graham_estimate,extreme_multiples_pb_estimate,0.027015522723686482,0.13745019920318724,0.0697211155378486
extreme_multiples_pb_estimate,restatement_history,-0.027045279653757606,0.0697211155378486,0.11752988047808766
extreme_multiples_pb_estimate,sloan_accruals_top_decile,0.027221295131968033,0.0697211155378486,0.11155378486055777
goodwill_heavy,value_trap_risk,-0.02779412641729518,0.17928286852589642,0.350597609561753
goodwill_heavy,sloan_accruals_top_decile,-0.03364872796229166,0.17928286852589642,0.11155378486055777
extreme_graham_estimate,restatement_history,0.0339601695584113,0.13745019920318724,0.11752988047808766
extreme_rim_estimate,restatement_history,-0.03700588516324403,0.1553784860557769,0.11752988047808766
beneish_high,net_issuance_top_decile,0.0372804727424179,0.05179282868525897,0.07370517928286853
beneish_high,goodwill_heavy,-0.03893193929767352,0.05179282868525897,0.17928286852589642
goodwill_heavy,restatement_history,0.039060324169831184,0.17928286852589642,0.11752988047808766
beneish_high,value_trap_risk,-0.039853753696853685,0.05179282868525897,0.350597609561753
accruals_momentum_high,extreme_graham_estimate,0.04110063574259487,0.099601593625498,0.13745019920318724
extreme_dcf_estimate,sloan_accruals_top_decile,0.04298715808222144,0.10557768924302789,0.11155378486055777
extreme_rim_estimate,net_issuance_top_decile,0.04737190780246307,0.1553784860557769,0.07370517928286853
net_issuance_top_decile,value_trap_risk,0.04837835705869271,0.07370517928286853,0.350597609561753
extreme_dcf_estimate,value_trap_risk,-0.0486590301092378,0.10557768924302789,0.350597609561753
