flag_a,flag_b,phi,rate_a,rate_b
dechow_high,manipulation_triple_flag,1.0,0.00398406374501992,0.00398406374501992
dechow_high,dechow_manipulation_veto,0.7064007333008538,0.00398406374501992,0.00199203187250996
dechow_manipulation_veto,manipulation_triple_flag,0.7064007333008538,0.00199203187250996,0.00398406374501992
beneish_high,beneish_manipulation_veto,0.6404310783840154,0.05179282868525897,0.021912350597609563
extreme_graham_estimate,extreme_rim_estimate,0.5154938772299879,0.13745019920318724,0.1553784860557769
extreme_rim_estimate,goodwill_heavy,0.44461951458000637,0.1553784860557769,0.17928286852589642
beneish_manipulation_veto,manipulation_triple_flag,0.4225463933646275,0.021912350597609563,0.00398406374501992
beneish_manipulation_veto,dechow_high,0.4225463933646275,0.021912350597609563,0.00398406374501992
extreme_graham_estimate,goodwill_heavy,0.41671401290771565,0.13745019920318724,0.17928286852589642
extreme_multiples_ev_ebitda_estimate,extreme_multiples_pe_estimate,0.40878209566521906,0.0199203187250996,0.027888446215139442
dechow_high,rem_suspect,0.3485685011586675,0.00398406374501992,0.03187250996015936
manipulation_triple_flag,rem_suspect,0.3485685011586675,0.00398406374501992,0.03187250996015936
auditor_change,dechow_manipulation_veto,0.33066127954747226,0.017928286852589643,0.00199203187250996
extreme_rim_estimate,value_trap_risk,-0.3151460781678211,0.1553784860557769,0.350597609561753
accruals_momentum_high,sloan_accruals_top_decile,0.3047353973371503,0.099601593625498,0.11155378486055777
